review_week,review_volume,average_rating,positive_reviews,negative_reviews,verified_reviews,helpful_votes,price_discussions,text_eligible_reviews,positive_share,negative_share,verified_share,price_discussion_share
2023-04-17,29,4.448275862068965,24,3,23,12,2,28,0.8275862068965517,0.10344827586206896,0.7931034482758621,0.07142857142857142
2023-04-24,17,3.823529411764706,10,4,15,12,1,17,0.5882352941176471,0.23529411764705882,0.8823529411764706,0.058823529411764705
2023-05-01,22,3.4545454545454546,11,7,20,2,5,21,0.5,0.3181818181818182,0.9090909090909091,0.23809523809523808
2023-05-08,14,3.857142857142857,10,4,13,6,4,12,0.7142857142857143,0.2857142857142857,0.9285714285714286,0.3333333333333333
2023-05-15,16,3.25,8,6,16,7,2,16,0.5,0.375,1.0,0.125
2023-05-22,17,2.823529411764706,7,9,17,9,3,16,0.4117647058823529,0.5294117647058824,1.0,0.1875
2023-05-29,10,4.3,8,1,10,10,1,10,0.8,0.1,1.0,0.1
2023-06-05,10,3.8,6,3,10,2,1,10,0.6,0.3,1.0,0.1
2023-06-12,6,3.1666666666666665,3,2,6,1,1,6,0.5,0.3333333333333333,1.0,0.16666666666666666
2023-06-19,7,3.2857142857142856,4,3,7,5,0,6,0.5714285714285714,0.42857142857142855,1.0,0.0
2023-06-26,9,3.6666666666666665,5,2,9,1,1,9,0.5555555555555556,0.2222222222222222,1.0,0.1111111111111111
2023-07-03,8,3.125,3,3,7,2,0,8,0.375,0.375,0.875,0.0
2023-07-10,4,2.0,0,3,4,1,1,4,0.0,0.75,1.0,0.25
2023-07-17,7,3.0,3,3,7,1,1,7,0.42857142857142855,0.42857142857142855,1.0,0.14285714285714285
2023-07-24,11,4.2727272727272725,8,1,11,1,0,10,0.7272727272727273,0.09090909090909091,1.0,0.0
2023-07-31,4,3.5,2,1,4,0,0,4,0.5,0.25,1.0,0.0
2023-08-07,5,3.2,2,3,5,0,0,5,0.4,0.6,1.0,0.0
2023-08-14,2,4.0,1,0,2,0,0,2,0.5,0.0,1.0,0.0
2023-08-21,5,4.2,4,1,5,0,1,5,0.8,0.2,1.0,0.2
2023-08-28,3,4.333333333333333,2,0,3,1,0,3,0.6666666666666666,0.0,1.0,0.0
